"Gene","log2FoldChange","pvalue","padj"
"Ccnd2",-0.61793657891887,0.00229791281134345,0.228738965921674
"Itgb2",-0.792741138801389,0.00932424806362413,0.469562960405015
"Dynlt1c",0.299122839950467,0.00270379110041012,0.254850256729807
"Sema4f",1.05206860275448,0.00740598596731814,0.416664026051539
"Dnmt3l",-2.33297841473862,0.000785629030928767,0.118913758501872
"Icam4",0.898339416696484,0.00708662125927395,0.408916360663157
"B9d1",0.320400830299231,0.00421804547007396,0.327114013541616
"Rrp15",0.229676546678923,0.00521581266222548,0.364286037149925
"Itfg2",0.179883252372814,0.0067332879483817,0.399533425839629
"Ergic1",-0.307401381831897,0.00601807306875458,0.386797118295101
"Tat",-1.67186372903169,0.00297773675842578,0.272239263639425
"Cd3g",1.18689820000845,0.00273531496877624,0.256685812620579
"Unc119",-0.918855615836206,0.00284068862952464,0.265405040290061
"Ccne1",-0.772174498055916,0.00568817440973157,0.380797451692098
"Ap2a2",-0.18940004650624,0.00226891523112015,0.227960126410905
"Grk5",-0.408181676164039,0.00900708627212997,0.461223441752194
"Syce2",0.520822329950442,0.00130488738828603,0.161608785728309
"Ruvbl2",0.151638658329383,0.00478997064335063,0.348245578991997
"Cnn2",-0.225459298360082,0.000294953714374488,0.0571191274873213
"Plod3",-0.205346294126225,0.00535834558936367,0.367860671509792
"Ubqln1",-0.145333255609101,0.00459659588847292,0.342366033623252
"Slc1a3",1.12715380301451,0.000186941096369154,0.0422396852764242
"Hmox1",-0.295939920710434,0.00371660244022262,0.304504096852393
"Pafah1b3",0.393510400258019,0.00505451487246165,0.358904252710594
"Bcas2",0.167255878185807,0.00954140665757066,0.474557301987542
"Cdk4",0.177595357854545,0.0038370229443536,0.308438727398567
"Ctsd",-0.475029641969007,0.00660239947421154,0.397653843506441
"Plin5",1.31006320347137,0.00269794195972195,0.254850256729807
"Elmo3",-0.605130812138128,0.00792849466011315,0.435290704251883
"Egfl8",0.468028210242693,0.00892643124619867,0.459612301993427
"Lama5",-0.395168874290142,0.000458661111051038,0.0864637078549489
"E2f3",-0.310063476119707,5.83275147293148e-05,0.0203687330944896
"Rhbdl3",-0.388479603634616,0.00240109621548081,0.234624548542075
"Atp6v0a1",-0.312798222964157,0.000787101678188147,0.118913758501872
"Slc35e1",-0.185245282097825,0.00916965112542103,0.46680670627322
"Fuca2",-0.428754800650774,0.000906245189462778,0.124547322747975
"Slc1a4",-0.622912097166271,0.000238496944479305,0.0498084501107661
"Ap3d1",-0.108650818340029,0.00880827950815236,0.457643829469906
"Pfkl",-0.53032869611252,0.000520753957580373,0.094053213552234
"Gas2l2",-2.67863269272181,0.00219816165500987,0.224174602521556
"Mrc2",-1.13093107414897,4.62861399523014e-05,0.0176069170225701
"Snhg16",0.399939544368439,0.00447797071748859,0.336044500791684
"0610010K14Rik",0.28490669983221,0.00291996801466449,0.270147323004365
"Sel1l",-0.205499569986608,0.00640773678316488,0.396795374869123
"Ahrr",0.920818043246314,0.00507143881667326,0.358909600241773
"Slc4a7",-0.675986124150894,0.00132447766915899,0.163086839933091
"Adamdec1",0.656430542233022,0.00610775854066547,0.389528723260714
"Hr",-0.358199678305678,0.00103861457445123,0.132482441107546
"Myo10",-0.351009505897459,0.00375915582291272,0.305744282700852
"Baalc",0.87353560358158,0.00748973656364623,0.417321056066666
"Dcstamp",-2.64086603099711,2.76201637664459e-05,0.0125183984798475
"Fgf12",-0.778013748812002,0.00572413048922597,0.380797451692098
"Muc13",-2.39855025304471,0.000337893298928203,0.0642660986943623
"Chodl",-1.81664428540634,0.00715871625434579,0.408916360663157
"Fetub",-1.12950326876486,3.31519764194052e-05,0.0143783104294494
"Adamts5",-0.313817996877984,0.00171939314572311,0.198768158021888
"Tnfrsf21",-0.49247110757667,0.00585600736709382,0.382372568744484
"Ehd3",-0.340835238231889,0.00262306013440357,0.249448334745825
"C3",-0.533655318719667,0.00161291965042966,0.191037800345367
"2700062C07Rik",0.212575721655561,0.00807817469787435,0.438721047571942
"Tapbp",-0.271922960309762,0.00241852853085268,0.235248834539835
"Mzb1",-2.46771618273902,0.000969472441574138,0.128579784876099
"Gnal",0.503119365862777,0.00388080303711417,0.308465919017187
"Cidea",3.93278926440895,6.30448605789044e-07,0.000706832431606222
"Lox",-0.308736780145653,0.00692613294812844,0.4042205042768
"Nedd4l",-0.248107555504606,0.00173075823038487,0.198768158021888
"Tmem132a",-0.696399258651426,0.000133395203165354,0.0356671519590311
"Lipa",-0.310966490864111,0.000279377546897016,0.0551046342962984
"Vldlr",-0.632438850192466,0.0012775376181738,0.159146820715428
"Gbf1",-0.269794460007557,0.00353267926607383,0.297883601883478
"Atp10a",-0.607675290111537,0.00211687675350458,0.21996931025929
"Adam8",-1.97062019658791,9.27299572989766e-05,0.0276311159836018
"Inpp5a",-0.197020705219299,0.000897120999968783,0.12409397104763
"Irf7",0.413683821615853,0.0033541641651751,0.292829528879344
"Gaa",-0.230937664374881,0.00176876966740543,0.199356251085029
"Ecrg4",-1.16475870072592,0.00570810982975881,0.380797451692098
"Sctr",1.6348138897649,2.0827836247117e-05,0.0100835129030928
"Marco",-2.1545192926824,0.00976194512519914,0.479676420110574
"Dpt",-1.22493046121272,0.00662437728565766,0.397653843506441
"Tor1a",0.223570762849556,0.00295536847581274,0.271358876171392
"Usp20",-0.181392154155868,0.00411927659723431,0.322605992920166
"Dhrs9",-3.04863837829321,0.000980278966364964,0.128579784876099
"Map1a",-0.353873018742873,0.000245686683240816,0.0508118225863676
"Slc27a2",2.66659466356452,0.000983874985203458,0.128579784876099
"Dusp2",1.11645358678956,0.00741049270004131,0.416664026051539
"Acoxl",-3.32410284585531,0.000275879832291369,0.0551046342962984
"E2f5",0.205448253001767,0.00891533474654175,0.459612301993427
"Ccn5",-2.05755500155155,0.000183883444653812,0.0422396852764242
"Ocstamp",-2.56557939344579,0.00446783369859999,0.336044500791684
"Tsc22d2",-0.412186710075558,0.00527385516258827,0.364901826041535
"Dennd2d",0.700658163086313,0.0084665564679821,0.44910677071759
"Tdo2",0.855156278499261,0.00975753093962388,0.479676420110574
"Calb1",2.86727956306432,0.00477821646944712,NA
"Spaca1",-0.976994792502062,0.001793160049089,0.201041554556284
"Tmem38b",-0.223448613566284,0.00838162670459188,0.447919927114715
"Plin2",-0.831099429250242,0.00525875207294305,0.364901826041535
"Rnf11",-0.327203062674547,0.00621614654295853,0.39186309198593
"Czib",0.239009199990658,0.00520447297028854,0.364286037149925
"Plch2",-2.51566993811604,7.07406775528817e-05,0.0232142613833267
"Sult1e1",2.01625394454542,0.0042636739904036,0.327887304489449
"Cds1",-0.584091668469965,0.00578911595664779,0.381794885784864
"Tfpi2",-0.838700297465445,0.00327917124638371,0.288648371448206
"Rbm28",-0.483070778777203,5.62042326809288e-05,0.0199543760761524
"Pcyox1",-0.282138956443725,0.00206540532164207,0.216735291436548
"Arhgap25",-0.711671203227774,0.00964327734664833,0.477337104719517
"Ret",-0.890362402077763,0.000878975243308657,0.123215318525883
"Gys2",-1.91474407693144,0.000643096322682169,0.107025295826372
"Pianp",-0.86000002683416,0.00602838434297124,0.386797118295101
"Qpctl",-0.225728668484945,0.00361666924972362,0.303316095896113
"Dmpk",-0.616222811363964,0.00341616309136016,0.293272280885272
"Apba2",-1.00259273048132,0.00402133193141157,0.318447631237656
"Cyp2r1",-0.602833779647891,0.00141182564156335,0.170879033048764
"Nomo1",-0.237751742772742,0.0037604451256982,0.305744282700852
"Cdr2",-0.425756628051141,0.0092688915802303,0.467881347019113
"Acsm3",2.31755411470562,0.000108787759859871,0.0313161737910132
"Dhx32",-0.473182081579826,0.0074062015243686,0.416664026051539
"Fgf13",-2.00495173062539,3.80652792594003e-06,0.00311871761070671
"Srpx2",-1.30536422935578,0.000277063027490413,0.0551046342962984
"Il13ra2",-4.49065095511868,2.75929751635525e-05,0.0125183984798475
"Adgrg2",1.36865919208406,1.44729379544082e-06,0.0014681072585943
"Zcchc13",-2.90842987466637,0.00289760109233122,NA
"Vegfd",-0.913751398425553,0.00893247080205046,0.459612301993427
"Naa10",0.215456463245514,0.00840139420700275,0.447919927114715
"Col4a1",-0.497585018634718,0.000724032089722822,0.115099489367728
"Col4a2",-0.509698272086083,0.00184242017647043,0.203353547145975
"Tti2",0.218666995624262,0.00192611504998645,0.210410783563136
"Ucp1",7.4377422463529,2.79819497632174e-06,0.00259161519067851
"Ces1f",1.67583084491562,0.00052962112563696,0.094053213552234
"Gnao1",-0.238337359188805,0.00829816347848448,0.446382521259284
"Cenpn",0.511876950272322,0.00965788621416354,0.477337104719517
"Mphosph6",0.199801761374892,0.00853119489881089,0.44910677071759
"Cyb5b",-0.236057338699237,0.0055861077070331,0.376641396914053
"Hephl1",-3.96674994920243,0.000206038291910168,0.0448367808623032
"2310022B05Rik",-0.173955118263089,0.0071601634835864,0.408916360663157
"Bace1",-0.230692034224984,0.00664301347285466,0.397653843506441
"Slc37a2",-0.975383110657899,0.00163847223798829,0.191773272602343
"Car12",-2.19639991194402,8.76225145201243e-05,0.0266647829186812
"Atg12",-0.200586800243344,0.00690004765298648,0.403804437098676
"Mycbp2",-0.452808410783751,0.00076794528906341,0.117688996745531
"Gstt2",0.4429833060537,0.00382831539812087,0.308438727398567
"Ttc7b",-0.449671489416445,0.00371179066765138,0.304504096852393
"Vhl",-0.234174995714601,0.00346860294306754,0.295552719572899
"Ppm1h",-0.384071701016036,0.000973543815915458,0.128579784876099
"Ttyh2",-0.227115294243717,0.00828212823211366,0.446382521259284
"Nxnl1",0.906809601509407,0.000320479810722654,0.0615032516037295
"1110059E24Rik",0.172996847769256,0.00926161361734113,0.467881347019113
"Tnni3",0.483111654469081,0.00528728829425594,0.364901826041535
"Krt20",-1.31340866848609,0.00741318495322193,0.416664026051539
