"Gene","log2FoldChange","pvalue"
"Ccnd2",-0.61793657891887,0.00229791281134345
"Itgb2",-0.792741138801389,0.00932424806362413
"Sema4f",1.05206860275448,0.00740598596731814
"Dnmt3l",-2.33297841473862,0.000785629030928767
"Itfg2",0.179883252372814,0.0067332879483817
"Tat",-1.67186372903169,0.00297773675842578
"Unc119",-0.918855615836206,0.00284068862952464
"Ccne1",-0.772174498055916,0.00568817440973157
"Ruvbl2",0.151638658329383,0.00478997064335063
"Slc1a3",1.12715380301451,0.000186941096369154
"Hmox1",-0.295939920710434,0.00371660244022262
"Pafah1b3",0.393510400258019,0.00505451487246165
"Ctsd",-0.475029641969007,0.00660239947421154
"Elmo3",-0.605130812138128,0.00792849466011315
"Egfl8",0.468028210242693,0.00892643124619867
"Rhbdl3",-0.388479603634616,0.00240109621548081
"Fuca2",-0.428754800650774,0.000906245189462778
"Ap3d1",-0.108650818340029,0.00880827950815236
"Pfkl",-0.53032869611252,0.000520753957580373
"Gas2l2",-2.67863269272181,0.00219816165500987
"Mrc2",-1.13093107414897,4.62861399523014e-05
"Slc4a7",-0.675986124150894,0.00132447766915899
"Baalc",0.87353560358158,0.00748973656364623
"Dcstamp",-2.64086603099711,2.76201637664459e-05
"Chodl",-1.81664428540634,0.00715871625434579
"Adamts5",-0.313817996877984,0.00171939314572311
"Tnfrsf21",-0.49247110757667,0.00585600736709382
"Ehd3",-0.340835238231889,0.00262306013440357
"2700062C07Rik",0.212575721655561,0.00807817469787435
"Tapbp",-0.271922960309762,0.00241852853085268
"Cidea",3.93278926440895,6.30448605789044e-07
"Lox",-0.308736780145653,0.00692613294812844
"Irf7",0.413683821615853,0.0033541641651751
"Marco",-2.1545192926824,0.00976194512519914
"Dpt",-1.22493046121272,0.00662437728565766
"Usp20",-0.181392154155868,0.00411927659723431
"Dhrs9",-3.04863837829321,0.000980278966364964
"Dusp2",1.11645358678956,0.00741049270004131
"Acoxl",-3.32410284585531,0.000275879832291369
"E2f5",0.205448253001767,0.00891533474654175
"Ccn5",-2.05755500155155,0.000183883444653812
"Ocstamp",-2.56557939344579,0.00446783369859999
"Tsc22d2",-0.412186710075558,0.00527385516258827
"Calb1",2.86727956306432,0.00477821646944712
"Spaca1",-0.976994792502062,0.001793160049089
"Tmem38b",-0.223448613566284,0.00838162670459188
"Plin2",-0.831099429250242,0.00525875207294305
"Rnf11",-0.327203062674547,0.00621614654295853
"Plch2",-2.51566993811604,7.07406775528817e-05
"Cds1",-0.584091668469965,0.00578911595664779
"Tfpi2",-0.838700297465445,0.00327917124638371
"Arhgap25",-0.711671203227774,0.00964327734664833
"Pianp",-0.86000002683416,0.00602838434297124
"Qpctl",-0.225728668484945,0.00361666924972362
"Dmpk",-0.616222811363964,0.00341616309136016
"Apba2",-1.00259273048132,0.00402133193141157
"Cyp2r1",-0.602833779647891,0.00141182564156335
"Cdr2",-0.425756628051141,0.0092688915802303
"Dhx32",-0.473182081579826,0.0074062015243686
"Srpx2",-1.30536422935578,0.000277063027490413
"Vegfd",-0.913751398425553,0.00893247080205046
"Ces1f",1.67583084491562,0.00052962112563696
"Cenpn",0.511876950272322,0.00965788621416354
"Slc37a2",-0.975383110657899,0.00163847223798829
"Atg12",-0.200586800243344,0.00690004765298648
"Mycbp2",-0.452808410783751,0.00076794528906341
"Gstt2",0.4429833060537,0.00382831539812087
"Ttc7b",-0.449671489416445,0.00371179066765138
"Vhl",-0.234174995714601,0.00346860294306754
"Ppm1h",-0.384071701016036,0.000973543815915458
"1110059E24Rik",0.172996847769256,0.00926161361734113
"Tnni3",0.483111654469081,0.00528728829425594
"Fam214b",-0.201799364869103,0.00573823969548228
"Sigmar1",-0.386855895490567,0.00697179844054435
"Frmd7",0.476513197511626,0.00654484790101169
"Slc18a1",-2.02952722120826,0.00875410810982447
"Sh3tc1",-0.780340352982521,0.00809395229066628
"Ccdc148",-0.516912910486286,0.00209043126955439
"Clca2",-1.0005868035672,0.00583768358408317
"Serpine1",-1.68163614473725,0.000879200470187501
"Best1",0.422653013726731,0.00174068865042808
"Mrpl47",0.227258644398029,0.00659730427398619
"Tnfrsf23",-0.620547672352478,0.00470448487879114
"Fam13a",1.07927281861896,0.00048296186261694
"Susd4",-0.379150913762844,0.00748886588860692
"Nipal2",0.45654430953614,0.000614937784621119
"Dap",-0.315726578719027,0.00303083646029429
"Daglb",-0.365925188177018,0.000820495309574507
"Gpatch2",-0.175494313456463,0.00768896984756632
"Vstm2b",-0.621867017929532,0.0060551078312253
"Dock3",1.14921423379846,0.0086874717849976
"Htatip2",-0.659446101344186,0.00472808370868723
"Zc3h12d",-1.06653051693284,0.00370628466927325
"Bub1b",-0.52160857059476,0.00586967561634805
"Ggt6",-2.19558506953375,0.00875074412015849
"Tlr8",-1.13568022063187,0.00834456267711633
"Dnph1",0.732446638192048,0.00636077220957399
"Kremen2",0.896372044472898,0.00735547021276085
"Hmgn1",0.148042027063051,0.00751656253469919
"S100g",-3.84524956905444,5.40385903835557e-05
"Slc16a11",1.25699943185239,0.00841085207238221
"Pde9a",0.375925874193288,8.73535497120569e-05
"Phf8",-0.427259874322469,0.00591849918296546
"Bicdl1",-0.563478798180715,0.000735694268162924
"Rhod",-0.548356267546978,7.29738654402888e-05
"Grk3",-0.593121155526989,0.00598154031879989
"Cux2",-0.541676898047241,0.009435047733431
"Rgsl1",-0.519601324006405,0.00286292090311905
"Wfdc12",-3.35003984986307,0.00366444224160143
"Tnip3",-1.338716804496,0.00337448870570747
"Tst",0.650577458063352,0.000887155768560008
"Hcar2",1.16334689460752,0.00542525333320322
"Ifitm10",0.541486841474679,0.00993130952188387
"Ccdc9b",-0.36504661075294,0.00176537363140735
"4933440M02Rik",-3.46183798351683,0.00492807444868495
"Gsg1l",-2.85434284607992,8.20447615993184e-06
"Tmem198b",0.23207002149769,0.00751654331365162
"Samd14",0.236974239827731,0.00689825746020361
"Arxes2",0.637440179569705,0.00161425237358774
"Zfp689",0.283419989002098,0.00715811617098666
"Themis",-2.6434189287305,0.00457314245141305
"Zfp697",-0.553159111477585,0.00578603152023138
"Ch25h",0.89198324983016,0.00201356599808262
"Mmp13",-1.57604590521078,0.00227938723713842
"Trhde",-1.39275376507235,0.00171417661252097
"Usp29",2.96051238644028,0.000188375274681265
"H1f4",-0.914861222306074,0.00814991958034173
"Acot4",1.06586420133002,0.00465112332117591
"Gm9877",-2.73195065457749,0.00667865688492353
"Jun",0.382629424908889,0.00174488994226331
"Gm9923",2.53498427623201,0.00503926461371428
"Nap1l5",0.505631214796399,0.00496498032678483
"Cdca7",0.42020981297085,0.0042229064746946
"Cldn23",-3.07097943057277,0.0079686654268523
"S100a8",-3.69266542956865,0.000132665678038016
"Palld",-0.595503128977567,0.00101194160719372
"Txndc9",0.157620696621755,0.00854945898351523
"R74862",0.36037608111258,0.00500564420214211
"Krt4",-0.932538839582348,0.00448017267039894
"Acat3",0.90600661558633,0.00247012335237363
"Egfem1",1.27842405267675,0.00325626081414896
"Glyat",-2.48077934818427,0.00180261740666963
"Dhrs3",-0.308262070397928,0.00701716101529991
"Unc93a",2.41192847356119,0.00955708771724042
"Gm14648",0.770637062624884,0.00677948337624844
"Pde7a",-0.485030233497881,0.0091818613242174
"Dsg1a",-4.2271247896367,0.000766932615162701
"Hs3st3b1",0.791596798973011,0.00214772885167823
"Pappa2",2.66098667741687,0.00219944098802954
"Snrnp40",0.194644113923493,0.00202831035259467
"Dnajb14",-0.213492344997188,0.00807093130496061
"Itpripl1",-0.36166516158373,0.0066538108962527
"Iglc2",-3.45675395469716,0.00160718879215262
"Ddi2",-0.238847664581503,0.00470556776162093
"Serpina3m",-2.33638159628014,4.63133656665908e-06
"Tm4sf19",-4.04743422677212,0.000753962558870633
"Ttll2",1.88625446848288,0.00386267479470137
"Gm9009",1.51080455120919,0.00474742192674244
